Id,ProductId,Score,review_year,review_month,star_sentiment,vader_sentiment,vader_compound,sentiment_agreement,helpfulness_ratio,is_helpful,jtbd_count,unmet_need,lda_topic_name,lda_topic_confidence,cluster_name,review_length,word_count
15,B001GVISJM,5,2010,3,Positive,Positive,0.6486,1,0.8,1,2,0,Snacks & Chocolate,0.658,Mainstream Food Buyers,113,9
16,B001GVISJM,5,2009,12,Positive,Positive,0.5719,1,0.8,1,1,0,Snacks & Chocolate,0.483,Mainstream Food Buyers,155,14
33,B001EO5QW8,4,2006,11,Positive,Positive,0.7103,1,1.0,1,4,0,Baking & Dietary Needs,0.531,Mainstream Food Buyers,1099,97
34,B001EO5QW8,4,2006,12,Positive,Positive,0.9779,1,1.0,1,4,0,Baking & Dietary Needs,0.816,Mainstream Food Buyers,481,43
35,B001EO5QW8,5,2007,3,Positive,Positive,0.9091,1,1.0,1,5,0,Baking & Dietary Needs,0.509,Mainstream Food Buyers,537,53
83,B003ZFRKGO,5,2012,1,Positive,Positive,0.9957,1,1.0,1,8,0,Baking & Dietary Needs,0.568,Mainstream Food Buyers,2308,184
84,B0019CW0HE,3,2011,3,Neutral,Positive,0.8642,0,1.0,1,6,0,Pet Food & Treats,0.976,Dedicated Dog Owners,426,35
101,B004K2IHUO,5,2009,1,Positive,Positive,0.7717,1,0.8,1,2,0,General Product Experience,0.761,Mainstream Food Buyers,171,15
119,B003SE19UK,5,2010,11,Positive,Positive,0.8972,1,1.0,1,5,0,Pet Food & Treats,0.902,Dedicated Cat Owners,1540,127
159,B000ITVLE2,5,2009,12,Positive,Negative,-0.4721,0,0.8947368421052632,1,1,0,General Product Experience,0.357,Mainstream Food Buyers,504,32
175,B0025VRCJY,4,2010,8,Positive,Positive,0.9782,1,0.8333333333333334,1,4,0,Tea & Beverages,0.459,Mainstream Food Buyers,658,48
180,B005CJVVJ8,4,2011,8,Positive,Positive,0.7458,1,1.0,1,1,0,Daily Use & Supplements,0.636,Mainstream Food Buyers,375,29
181,B005CJVVJ8,4,2012,1,Positive,Positive,0.6085,1,1.0,1,4,0,General Product Experience,0.669,Mainstream Food Buyers,236,16
219,B001EO5ZMO,5,2010,2,Positive,Positive,0.9424,1,1.0,1,3,0,Tea & Beverages,0.639,Tea Drinkers,706,58
264,B000LKZK7C,3,2011,1,Neutral,Negative,-0.9218,0,0.8,1,5,0,General Product Experience,0.586,Mainstream Food Buyers,1158,92
265,B000LKZK7C,5,2012,6,Positive,Positive,0.872,1,0.75,1,2,0,Organic & Nutrition Labels,0.446,Mainstream Food Buyers,622,43
288,B001UJEN6C,5,2010,6,Positive,Positive,0.9676,1,1.0,1,2,0,Tea & Beverages,0.556,Mainstream Food Buyers,883,69
289,B001UJEN6C,5,2010,7,Positive,Positive,0.9557,1,1.0,1,3,0,Daily Use & Supplements,0.604,Mainstream Food Buyers,701,52
290,B001UJEN6C,5,2010,3,Positive,Positive,0.8439,1,0.875,1,1,0,Daily Use & Supplements,0.925,Mainstream Food Buyers,148,11
291,B001UJEN6C,3,2009,11,Neutral,Positive,0.6257,0,0.8571428571428571,1,2,0,Tea & Beverages,0.542,Mainstream Food Buyers,253,16
295,B001UJEN6C,3,2009,12,Neutral,Positive,0.4939,0,0.8333333333333334,1,2,0,Tea & Beverages,0.813,Mainstream Food Buyers,191,15
357,B000U9V5AU,5,2011,2,Positive,Positive,0.8805,1,1.0,1,2,0,Tea & Beverages,0.35,Mainstream Food Buyers,568,47
406,B000C21OOM,5,2007,12,Positive,Positive,0.9622,1,0.8571428571428571,1,1,0,Tea & Beverages,0.932,Tea Drinkers,384,37
523,B000G6RYNE,5,2008,4,Positive,Positive,0.9954,1,0.9148936170212766,1,6,0,Snacks & Chocolate,0.545,Snack & Cooking Enthusiasts,1601,129
524,B000G6RYNE,5,2007,7,Positive,Positive,0.4246,1,0.8666666666666667,1,3,0,Snacks & Chocolate,0.62,Snack & Cooking Enthusiasts,393,32
525,B000G6RYNE,5,2008,1,Positive,Positive,0.8583,1,0.8235294117647058,1,2,0,Snacks & Chocolate,0.883,Snack & Cooking Enthusiasts,272,19
528,B000G6RYNE,5,2007,3,Positive,Positive,0.9538,1,0.7857142857142857,1,2,0,Snacks & Chocolate,0.692,Snack & Cooking Enthusiasts,776,80
561,B000G6RYNE,1,2011,4,Negative,Negative,-0.7754,1,0.7777777777777778,1,2,1,Organic & Nutrition Labels,0.324,Snack & Cooking Enthusiasts,1042,88
