Id,jtbd_tags,Score,star_sentiment,vader_compound,unmet_need,is_helpful,review_year,cluster_name
15,Taste & Enjoyment,5,Positive,0.6486,0,1,2010,Mainstream Food Buyers
15,Family & Kids,5,Positive,0.6486,0,1,2010,Mainstream Food Buyers
16,Family & Kids,5,Positive,0.5719,0,1,2009,Mainstream Food Buyers
33,Health & Nutrition,4,Positive,0.7103,0,1,2006,Mainstream Food Buyers
33,Taste & Enjoyment,4,Positive,0.7103,0,1,2006,Mainstream Food Buyers
33,Convenience & Speed,4,Positive,0.7103,0,1,2006,Mainstream Food Buyers
33,Pet Care,4,Positive,0.7103,0,1,2006,Mainstream Food Buyers
34,Health & Nutrition,4,Positive,0.9779,0,1,2006,Mainstream Food Buyers
34,Taste & Enjoyment,4,Positive,0.9779,0,1,2006,Mainstream Food Buyers
34,Convenience & Speed,4,Positive,0.9779,0,1,2006,Mainstream Food Buyers
34,Repeat Purchase,4,Positive,0.9779,0,1,2006,Mainstream Food Buyers
35,Health & Nutrition,5,Positive,0.9091,0,1,2007,Mainstream Food Buyers
35,Taste & Enjoyment,5,Positive,0.9091,0,1,2007,Mainstream Food Buyers
35,Convenience & Speed,5,Positive,0.9091,0,1,2007,Mainstream Food Buyers
35,Quality & Freshness,5,Positive,0.9091,0,1,2007,Mainstream Food Buyers
35,Repeat Purchase,5,Positive,0.9091,0,1,2007,Mainstream Food Buyers
83,Health & Nutrition,5,Positive,0.9957,0,1,2012,Mainstream Food Buyers
83,Taste & Enjoyment,5,Positive,0.9957,0,1,2012,Mainstream Food Buyers
83,Convenience & Speed,5,Positive,0.9957,0,1,2012,Mainstream Food Buyers
83,Family & Kids,5,Positive,0.9957,0,1,2012,Mainstream Food Buyers
83,Value & Bulk Buying,5,Positive,0.9957,0,1,2012,Mainstream Food Buyers
83,Gifting & Occasion,5,Positive,0.9957,0,1,2012,Mainstream Food Buyers
83,Quality & Freshness,5,Positive,0.9957,0,1,2012,Mainstream Food Buyers
83,Repeat Purchase,5,Positive,0.9957,0,1,2012,Mainstream Food Buyers
84,Health & Nutrition,3,Neutral,0.8642,0,1,2011,Dedicated Dog Owners
84,Taste & Enjoyment,3,Neutral,0.8642,0,1,2011,Dedicated Dog Owners
84,Family & Kids,3,Neutral,0.8642,0,1,2011,Dedicated Dog Owners
84,Pet Care,3,Neutral,0.8642,0,1,2011,Dedicated Dog Owners
84,Quality & Freshness,3,Neutral,0.8642,0,1,2011,Dedicated Dog Owners
84,Repeat Purchase,3,Neutral,0.8642,0,1,2011,Dedicated Dog Owners
101,Value & Bulk Buying,5,Positive,0.7717,0,1,2009,Mainstream Food Buyers
101,Quality & Freshness,5,Positive,0.7717,0,1,2009,Mainstream Food Buyers
119,Health & Nutrition,5,Positive,0.8972,0,1,2010,Dedicated Cat Owners
119,Taste & Enjoyment,5,Positive,0.8972,0,1,2010,Dedicated Cat Owners
119,Pet Care,5,Positive,0.8972,0,1,2010,Dedicated Cat Owners
119,Special Diet,5,Positive,0.8972,0,1,2010,Dedicated Cat Owners
119,Value & Bulk Buying,5,Positive,0.8972,0,1,2010,Dedicated Cat Owners
159,Taste & Enjoyment,5,Positive,-0.4721,0,1,2009,Mainstream Food Buyers
175,Taste & Enjoyment,4,Positive,0.9782,0,1,2010,Mainstream Food Buyers
175,Convenience & Speed,4,Positive,0.9782,0,1,2010,Mainstream Food Buyers
175,Value & Bulk Buying,4,Positive,0.9782,0,1,2010,Mainstream Food Buyers
175,Quality & Freshness,4,Positive,0.9782,0,1,2010,Mainstream Food Buyers
180,Convenience & Speed,4,Positive,0.7458,0,1,2011,Mainstream Food Buyers
181,Health & Nutrition,4,Positive,0.6085,0,1,2012,Mainstream Food Buyers
181,Taste & Enjoyment,4,Positive,0.6085,0,1,2012,Mainstream Food Buyers
181,Special Diet,4,Positive,0.6085,0,1,2012,Mainstream Food Buyers
181,Value & Bulk Buying,4,Positive,0.6085,0,1,2012,Mainstream Food Buyers
219,Taste & Enjoyment,5,Positive,0.9424,0,1,2010,Tea Drinkers
219,Convenience & Speed,5,Positive,0.9424,0,1,2010,Tea Drinkers
